trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.75, 'e': 1.0}",20,5,-56.442014818650996,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 1}",1
2,False,"{'a': 0.75, 'e': 0.25}",25,0,-111.09428072043006,"{0: 17, 1: 0, 2: 5, 3: 2, 4: 1}",0
3,False,"{'a': 0.75, 'e': 0.1111111111111111}",25,0,-115.76843916463338,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
4,False,"{'a': 0.75, 'e': 0.0625}",25,0,-91.48734250572178,"{0: 20, 1: 0, 2: 2, 3: 1, 4: 2}",0
5,False,"{'a': 0.75, 'e': 0.04}",30,0,-36.77388743537048,"{0: 28, 1: 0, 2: 0, 3: 1, 4: 1}",0
6,False,"{'a': 0.75, 'e': 0.027777777777777776}",20,0,8.962540575562159,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
7,False,"{'a': 0.75, 'e': 0.02040816326530612}",30,0,-1.250837270707887,"{0: 28, 1: 0, 2: 1, 3: 1, 4: 0}",0
8,False,"{'a': 0.75, 'e': 0.015625}",20,0,17.559751488965908,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
9,False,"{'a': 0.75, 'e': 0.012345679012345678}",20,0,1.7638557542257338,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
10,False,"{'a': 0.75, 'e': 0.01}",20,0,29.395865027823294,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
11,False,"{'a': 0.75, 'e': 0.008264462809917356}",20,0,-46.28486574088145,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
12,False,"{'a': 0.75, 'e': 0.006944444444444444}",20,16,8.40945645902612,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,False,"{'a': 0.75, 'e': 0.005917159763313609}",30,0,-78.83934766911221,"{0: 26, 1: 0, 2: 1, 3: 1, 4: 2}",0
14,False,"{'a': 0.75, 'e': 0.00510204081632653}",25,0,-20.72827875817994,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
15,False,"{'a': 0.75, 'e': 0.0044444444444444444}",25,0,33.23420016765781,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
16,False,"{'a': 0.75, 'e': 0.00390625}",35,15,29.8096563493773,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.75, 'e': 0.0034602076124567475}",25,7,25.46321996396218,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.75, 'e': 0.0030864197530864196}",25,0,-18.82944135693478,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
19,False,"{'a': 0.75, 'e': 0.002770083102493075}",30,0,-27.013839929425558,"{0: 26, 1: 1, 2: 1, 3: 2, 4: 0}",0
20,False,"{'a': 0.75, 'e': 0.0025}",20,0,27.430655522639857,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
21,False,"{'a': 0.75, 'e': 0.0022675736961451248}",20,14,10.01050246480765,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
22,False,"{'a': 0.75, 'e': 0.002066115702479339}",20,0,5.034097986267854,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
23,False,"{'a': 0.75, 'e': 0.001890359168241966}",20,2,-24.1250298168286,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
24,False,"{'a': 0.75, 'e': 0.001736111111111111}",20,8,20.921661853399353,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
25,False,"{'a': 0.75, 'e': 0.0016}",20,0,30.253941476289274,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
26,False,"{'a': 0.75, 'e': 0.0014792899408284023}",20,0,25.772278536817645,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
27,False,"{'a': 0.75, 'e': 0.0013717421124828531}",25,10,-8.039533500880113,"{0: 13, 1: 0, 2: 1, 3: 1, 4: 0}",1
28,False,"{'a': 0.75, 'e': 0.0012755102040816326}",25,0,29.45115101365656,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
29,False,"{'a': 0.75, 'e': 0.0011890606420927466}",20,0,28.43852610219193,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
