trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,-100,-770.1911669314181,"{0: 63, 1: 11, 2: 33, 3: 2, 4: 11}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,-53,-272.2372620037998,"{0: 48, 1: 3, 2: 13, 3: 8, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,-26,-247.04591024077632,"{0: 26, 1: 9, 2: 12, 3: 2, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,-100,-802.6222858772722,"{0: 60, 1: 15, 2: 27, 3: 9, 4: 9}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,-100,-576.9035063797609,"{0: 79, 1: 6, 2: 27, 3: 6, 4: 7}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",30,-90,-571.6020897802214,"{0: 77, 1: 8, 2: 22, 3: 5, 4: 8}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,-100,-416.2879926552311,"{0: 84, 1: 15, 2: 17, 3: 3, 4: 6}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,-21,-182.3317492827697,"{0: 24, 1: 6, 2: 7, 3: 2, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,-100,-444.1595028683876,"{0: 88, 1: 12, 2: 14, 3: 4, 4: 7}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,5,-44.833791930736496,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,-100,-498.8631973754277,"{0: 77, 1: 9, 2: 22, 3: 7, 4: 5}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,-100,-573.9080656695772,"{0: 74, 1: 18, 2: 22, 3: 4, 4: 7}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",30,-10,-156.6624929836692,"{0: 25, 1: 5, 2: 7, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,-100,-712.5221514568149,"{0: 65, 1: 13, 2: 28, 3: 5, 4: 9}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",35,-95,-616.5627803070423,"{0: 77, 1: 10, 2: 30, 3: 7, 4: 6}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,-32,-353.2592147922401,"{0: 32, 1: 0, 2: 18, 3: 3, 4: 4}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",30,8,-57.102819422299085,"{0: 15, 1: 1, 2: 5, 3: 1, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,-79,-610.8307681894146,"{0: 68, 1: 5, 2: 14, 3: 7, 4: 10}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,-100,-573.2781567077303,"{0: 75, 1: 14, 2: 25, 3: 4, 4: 7}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,-97,-701.6922747443848,"{0: 69, 1: 5, 2: 27, 3: 7, 4: 9}",0
1,True,"{'a': 0, 'e': 0}",20,0,-172.45303385103549,"{0: 11, 1: 1, 2: 4, 3: 1, 4: 3}",1
2,True,"{'a': 0, 'e': 0}",25,-100,-683.0054750991042,"{0: 73, 1: 12, 2: 24, 3: 8, 4: 8}",0
3,True,"{'a': 0, 'e': 0}",30,-47,-539.9037958649348,"{0: 39, 1: 11, 2: 14, 3: 6, 4: 7}",0
4,True,"{'a': 0, 'e': 0}",30,-51,-321.41664440018246,"{0: 51, 1: 6, 2: 17, 3: 4, 4: 3}",0
5,True,"{'a': 0, 'e': 0}",30,-39,-304.0647186560789,"{0: 40, 1: 5, 2: 18, 3: 4, 4: 2}",0
6,True,"{'a': 0, 'e': 0}",25,-100,-655.0192845750609,"{0: 71, 1: 17, 2: 23, 3: 6, 4: 8}",0
7,True,"{'a': 0, 'e': 0}",30,-100,-583.8202731488536,"{0: 85, 1: 9, 2: 24, 3: 3, 4: 9}",0
8,True,"{'a': 0, 'e': 0}",25,-100,-650.6512238620677,"{0: 74, 1: 9, 2: 27, 3: 8, 4: 7}",0
9,True,"{'a': 0, 'e': 0}",30,-17,-120.301553763459,"{0: 31, 1: 5, 2: 8, 3: 3, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",25,-100,-617.0909847489048,"{0: 81, 1: 10, 2: 21, 3: 2, 4: 11}",0
